Category                      Slice Name                  Precision                    Recall                       Fbeta                       
workclass                    Private                      0.8347578347578347           0.5825049701789264           0.6861826697892272          
workclass                    Local-gov                    0.7474747474747475           0.6218487394957983           0.6788990825688075          
workclass                    State-gov                    0.7014925373134329           0.746031746031746            0.7230769230769232          
workclass                    Self-emp-not-inc             0.8137254901960784           0.5684931506849316           0.6693548387096775          
workclass                    Self-emp-inc                 0.7863247863247863           0.7666666666666667           0.7763713080168777          
workclass                    Federal-gov                  0.7727272727272727           0.6710526315789473           0.7183098591549295          
workclass                    Without-pay                  1.0                          1.0                          1.0                         
education                    Prof-school                  0.9113924050632911           0.9                          0.9056603773584907          
education                    HS-grad                      0.8869565217391304           0.3100303951367781           0.4594594594594595          
education                    Bachelors                    0.7804878048780488           0.7963800904977375           0.7883538633818588          
education                    Some-college                 0.7516778523489933           0.4072727272727273           0.5283018867924528          
education                    7th-8th                      1.0                          0.125                        0.2222222222222222          
education                    Masters                      0.8620689655172413           0.875                        0.8684863523573201          
education                    11th                         1.0                          0.45454545454545453          0.625                       
education                    Assoc-acdm                   0.6976744186046512           0.6976744186046512           0.6976744186046512          
education                    Assoc-voc                    0.725                        0.453125                     0.5576923076923076          
education                    5th-6th                      1.0                          1.0                          1.0                         
education                    10th                         1.0                          0.2                          0.33333333333333337         
education                    12th                         1.0                          0.3333333333333333           0.5                         
education                    Doctorate                    0.8                          0.8727272727272727           0.8347826086956521          
education                    1st-4th                      1.0                          0.0                          0.0                         
education                    9th                          1.0                          0.3333333333333333           0.5                         
education                    Preschool                    1.0                          1.0                          1.0                         
marital-status               Never-married                1.0                          0.3333333333333333           0.5                         
marital-status               Married-civ-spouse           0.7975632614807873           0.6612276612276612           0.7230246389124895          
marital-status               Married-spouse-absent        1.0                          0.1111111111111111           0.19999999999999998         
marital-status               Separated                    1.0                          0.4666666666666667           0.6363636363636364          
marital-status               Divorced                     0.8974358974358975           0.36082474226804123          0.5147058823529412          
marital-status               Widowed                      1.0                          0.2777777777777778           0.4347826086956522          
marital-status               Married-AF-spouse            1.0                          0.0                          0.0                         
occupation                   Prof-specialty               0.8112094395280236           0.7554945054945055           0.7823613086770982          
occupation                   Craft-repair                 0.7647058823529411           0.30409356725146197          0.4351464435146443          
occupation                   Other-service                0.5                          0.23809523809523808          0.3225806451612903          
occupation                   Transport-moving             0.8333333333333334           0.29411764705882354          0.4347826086956522          
occupation                   Adm-clerical                 0.66                         0.3235294117647059           0.4342105263157895          
occupation                   Exec-managerial              0.8422330097087378           0.8222748815165877           0.8321342925659472          
